question,count
구원받는 방법은?,12
지금까지 나눈 이야기를 요약해줘,12
성령이란 무엇인가요?,11
복음이 무엇인가요?,9
하나님을 믿지 않는 친구에게 어떻게 전도해야 할까요? 짧게 답해주세요.,7
오늘 묵상할 말씀을 추천해 주세요,7
십자가의 의미가 무엇인가요?,6
기도는 어떻게 하나요?,5
교회는 왜 다녀야 하나요?,3
은혜가 무엇인가요?,3
믿음이란 무엇인가요?,3
회개란 무엇인가요?,3
성령님은 어떤 분이신가요?,3
예수님은 누구신가요?,3
구원은 어떻게 받나요?,3
워밍업,3
구원이란 무엇인가요?,3
마음이 무겁고 힘듭니다. 어떻게 해야 할까요?,3
술을 끊고 싶은데 중독 때문에 너무 힘들어요. 어떻게 해야 할까요?,2
하나님은 어떤 분이신가요?,2
하나님의 사랑이 무엇인가요?,2
죄란 무엇인가요?,1
안녕하세요,1
오늘 하루가 너무 지쳤어요. 하나님께서 저를 위로해 주실까요?,1
살고 싶지 않아요. 모든 게 끝내고 싶어요.,1
술을 끊고 싶은데 중독 때문에 힘들어요,1
야동을 못 끊겠어,1
기도에 대해 간단히 말씀해 주세요,1
하나님을 믿는 법을 알려주세요,1
예수님께서 왜 십자가에 돌아가셔야 했나요?,1
에녹은 어떤 사람이었나요?,1
기도란 무엇인가요?,1
사랑이란,1
은혜란 무엇인가요?,1
십자가의 의미는 무엇인가요?,1
"하나님의 사랑은 조건이 없습니다. 우리가 아직 죄인 되었을 때에 그리스도께서 우리를 위하여 죽으심으로, 하나님이 우리에 대한 자기의 사랑을 확증하셨습니다.",1
테스트,1
예수님의 십자가의 사랑에 대해 짧게 설명해줘,1
